Employee Number,Attrition,Age,Gender,Marital Status,Department,Job Role,BusinessTravel,Daily Rate,Standard Hours,Hourly Rate,Distance From Home,Education,Education Field,Employee Count,Environment Satisfaction,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Number Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Experience,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
306,No,26,Male,Married,Research & Development,Healthcare Representative,Travel_Frequently,496,80,60,11,2,Medical,1,1,3,2,1,4741,22722,1,Y,Yes,13,3,3,1,5,3,3,5,3,3,3
307,No,37,Female,Single,Research & Development,Research Scientist,Travel_Rarely,1372,80,42,1,3,Life Sciences,1,4,3,1,4,2115,15881,1,Y,No,12,3,2,0,17,3,3,17,12,5,7
308,Yes,44,Male,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,920,80,43,24,3,Life Sciences,1,4,3,1,3,3161,19920,3,Y,Yes,22,4,4,1,19,0,1,1,0,0,0
309,No,38,Male,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,688,80,82,23,4,Life Sciences,1,4,3,2,4,5745,18899,9,Y,No,14,3,2,1,10,2,3,2,2,1,2
310,Yes,26,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1449,80,45,16,4,Medical,1,1,3,1,2,2373,14180,2,Y,Yes,13,3,4,1,5,2,3,3,2,0,2
311,No,28,Female,Single,Research & Development,Research Scientist,Travel_Rarely,1117,80,66,8,2,Life Sciences,1,4,3,1,4,3310,4488,1,Y,No,21,4,4,0,5,3,3,5,3,0,2
312,No,49,Female,Single,Research & Development,Research Director,Travel_Frequently,636,80,35,10,4,Life Sciences,1,3,3,5,1,18665,25594,9,Y,Yes,11,3,4,0,22,4,3,3,2,1,2
313,No,36,Male,Single,Research & Development,Research Scientist,Travel_Rarely,506,80,30,3,3,Technical Degree,1,3,3,2,2,4485,26285,4,Y,No,12,3,4,0,10,2,3,8,0,7,7
314,No,31,Female,Divorced,Sales,Sales Representative,Travel_Frequently,444,80,84,5,3,Marketing,1,4,3,1,2,2789,3909,1,Y,No,11,3,3,1,2,5,2,2,2,2,2
315,Yes,26,Male,Single,Sales,Sales Executive,Travel_Rarely,950,80,48,4,4,Marketing,1,4,2,2,4,5828,8450,1,Y,Yes,12,3,2,0,8,0,3,8,7,7,4
316,No,37,Male,Married,Research & Development,Research Scientist,Travel_Frequently,889,80,53,9,3,Medical,1,2,3,1,4,2326,11411,1,Y,Yes,12,3,3,3,4,3,2,4,2,1,2
317,No,42,Female,Married,Sales,Sales Executive,Travel_Frequently,555,80,77,26,3,Marketing,1,3,3,4,2,13525,14864,5,Y,No,14,3,4,1,23,2,4,20,4,4,8
318,Yes,18,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,230,80,54,3,3,Life Sciences,1,3,3,1,3,1420,25233,1,Y,No,13,3,3,0,0,2,3,0,0,0,0
319,No,35,Male,Married,Sales,Sales Executive,Travel_Rarely,1232,80,96,16,3,Marketing,1,3,3,3,2,8020,5100,0,Y,No,15,3,3,2,12,3,2,11,9,6,9
320,No,36,Male,Married,Research & Development,Laboratory Technician,Travel_Frequently,566,80,81,18,4,Life Sciences,1,3,4,1,4,3688,7122,4,Y,No,18,3,4,2,4,2,3,1,0,0,0
321,No,51,Male,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1302,80,84,2,3,Medical,1,4,1,2,2,5482,16321,5,Y,No,18,3,4,1,13,3,3,4,1,1,2
322,No,41,Male,Single,Sales,Manager,Travel_Rarely,334,80,88,2,4,Life Sciences,1,4,3,4,2,16015,15896,1,Y,No,19,3,2,0,22,2,3,22,10,0,4
323,No,18,Female,Single,Sales,Sales Representative,Travel_Rarely,812,80,69,10,3,Medical,1,4,2,1,3,1200,9724,1,Y,No,12,3,1,0,0,2,3,0,0,0,0
324,No,28,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,1476,80,68,16,2,Medical,1,2,4,2,1,5661,4824,0,Y,No,19,3,3,0,9,2,3,8,3,0,7
325,No,31,Male,Married,Sales,Sales Executive,Travel_Rarely,218,80,100,7,3,Technical Degree,1,2,4,2,4,6929,12241,4,Y,No,11,3,2,1,10,3,2,8,7,7,7
326,No,39,Male,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,1132,80,48,1,3,Medical,1,3,4,3,4,9613,10942,0,Y,No,17,3,1,3,19,5,2,18,10,3,7
327,No,36,Female,Married,Research & Development,Laboratory Technician,Non-Travel,1105,80,47,24,4,Life Sciences,1,2,3,2,2,5674,6927,7,Y,No,15,3,3,1,11,3,3,9,8,0,8
328,No,32,Male,Married,Sales,Sales Executive,Travel_Rarely,906,80,91,7,3,Life Sciences,1,4,2,2,3,5484,16985,1,Y,No,14,3,3,1,13,3,2,13,8,4,8
329,No,38,Female,Married,Research & Development,Research Director,Travel_Rarely,849,80,81,25,2,Life Sciences,1,1,2,3,2,12061,26707,3,Y,No,17,3,3,1,19,2,3,10,8,0,1
330,No,58,Male,Divorced,Research & Development,Healthcare Representative,Non-Travel,390,80,32,1,4,Life Sciences,1,4,1,2,3,5660,17056,2,Y,Yes,13,3,4,1,12,2,3,5,3,1,2
331,No,31,Male,Married,Research & Development,Research Scientist,Travel_Rarely,691,80,86,5,4,Technical Degree,1,3,3,1,4,4821,10077,0,Y,Yes,12,3,3,1,6,4,3,5,2,0,3
332,No,31,Male,Married,Human Resources,Human Resources,Travel_Rarely,106,80,62,2,3,Human Resources,1,1,2,2,1,6410,17822,3,Y,No,12,3,4,0,9,1,3,2,2,1,0
333,No,45,Male,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,1249,80,97,7,3,Life Sciences,1,1,3,3,1,5210,20308,1,Y,No,18,3,1,1,24,2,3,24,9,9,11
334,No,31,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,192,80,32,2,4,Life Sciences,1,3,3,1,4,2695,7747,0,Y,Yes,18,3,2,1,3,2,1,2,2,2,2
335,No,33,Female,Married,Research & Development,Manager,Travel_Frequently,553,80,74,5,4,Life Sciences,1,4,3,3,2,11878,23364,6,Y,No,11,3,2,2,12,2,3,10,6,8,8
336,No,39,Male,Married,Research & Development,Manager,Travel_Rarely,117,80,99,10,1,Medical,1,3,3,4,1,17068,5355,1,Y,Yes,14,3,4,0,21,3,3,21,9,11,10
337,No,43,Female,Single,Research & Development,Laboratory Technician,Travel_Frequently,185,80,33,10,4,Life Sciences,1,3,3,1,4,2455,10675,0,Y,No,19,3,1,0,9,5,3,8,7,1,7
338,No,49,Female,Single,Research & Development,Healthcare Representative,Travel_Rarely,1091,80,90,1,2,Technical Degree,1,3,2,4,3,13964,17810,7,Y,Yes,12,3,4,0,25,2,3,7,1,0,7
339,Yes,52,Male,Married,Research & Development,Research Scientist,Travel_Rarely,723,80,85,8,4,Medical,1,3,2,2,2,4941,17747,2,Y,No,15,3,1,0,11,3,2,8,2,7,7
340,No,27,Female,Single,Research & Development,Research Scientist,Travel_Rarely,1220,80,85,5,3,Life Sciences,1,3,3,1,2,2478,20938,1,Y,Yes,12,3,2,0,4,2,2,4,3,1,2
341,No,32,Female,Married,Sales,Sales Executive,Travel_Rarely,588,80,65,8,2,Technical Degree,1,3,2,2,2,5228,24624,1,Y,Yes,11,3,4,0,13,2,3,13,12,11,9
342,No,27,Male,Single,Sales,Sales Executive,Travel_Rarely,1377,80,74,2,3,Life Sciences,1,4,3,2,3,4478,5242,1,Y,Yes,11,3,1,0,5,3,3,5,4,0,4
343,No,31,Male,Divorced,Sales,Sales Executive,Travel_Rarely,691,80,73,7,3,Marketing,1,4,3,2,4,7547,7143,4,Y,No,12,3,4,3,13,3,3,7,7,1,7
344,No,32,Female,Single,Research & Development,Research Scientist,Travel_Rarely,1018,80,74,2,4,Medical,1,1,4,2,4,5055,10557,7,Y,No,16,3,3,0,10,0,2,7,7,0,7
345,Yes,28,Male,Married,Research & Development,Research Scientist,Travel_Rarely,1157,80,84,2,4,Medical,1,1,1,1,4,3464,24737,5,Y,Yes,13,3,4,0,5,4,2,3,2,2,2
346,No,30,Female,Married,Research & Development,Research Scientist,Travel_Rarely,1275,80,64,28,2,Medical,1,4,3,2,4,5775,11934,1,Y,No,13,3,4,2,11,2,3,10,8,1,9
347,No,31,Female,Married,Research & Development,Manufacturing Director,Travel_Frequently,798,80,48,7,2,Life Sciences,1,3,2,3,3,8943,14034,1,Y,No,24,4,1,1,10,2,3,10,9,8,9
348,No,39,Male,Married,Research & Development,Manager,Travel_Frequently,672,80,54,7,2,Medical,1,3,2,5,4,19272,21141,1,Y,No,15,3,1,1,21,2,3,21,9,13,3
349,Yes,39,Female,Married,Sales,Sales Executive,Travel_Rarely,1162,80,41,3,2,Medical,1,4,3,2,3,5238,17778,4,Y,Yes,18,3,1,0,12,3,2,1,0,0,0
350,No,33,Male,Single,Sales,Sales Executive,Travel_Frequently,508,80,46,10,3,Marketing,1,2,2,2,4,4682,4317,3,Y,No,14,3,3,0,9,6,2,7,7,0,1
351,No,47,Male,Married,Research & Development,Research Director,Travel_Rarely,1482,80,42,5,5,Life Sciences,1,4,3,5,3,18300,16375,4,Y,No,11,3,2,1,21,2,3,3,2,1,1
352,No,43,Female,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,559,80,82,10,4,Life Sciences,1,3,2,2,3,5257,6227,1,Y,No,11,3,2,1,9,3,4,9,7,0,0
353,No,27,Male,Married,Sales,Sales Executive,Non-Travel,210,80,73,1,1,Marketing,1,3,3,2,2,6349,22107,0,Y,Yes,13,3,4,1,6,0,3,5,4,1,4
354,No,54,Female,Single,Research & Development,Research Scientist,Travel_Frequently,928,80,31,20,4,Life Sciences,1,4,3,2,3,4869,16885,3,Y,No,12,3,4,0,20,4,2,4,3,0,3
355,No,43,Female,Married,Research & Development,Healthcare Representative,Travel_Rarely,1001,80,43,7,3,Life Sciences,1,3,3,3,1,9985,9262,8,Y,No,16,3,1,1,10,1,2,1,0,0,0
356,No,45,Male,Married,Research & Development,Research Scientist,Travel_Rarely,549,80,75,8,4,Other,1,4,3,2,4,3697,9278,9,Y,No,14,3,1,2,12,3,3,10,9,9,8
357,No,40,Male,Married,Sales,Sales Executive,Travel_Rarely,1124,80,57,1,2,Medical,1,2,1,2,4,7457,13273,2,Y,Yes,22,4,3,3,6,2,2,4,3,0,2
358,Yes,29,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,318,80,77,8,4,Other,1,2,1,1,1,2119,4759,1,Y,Yes,11,3,4,0,7,4,2,7,7,0,7
359,No,29,Male,Single,Research & Development,Laboratory Technician,Travel_Rarely,738,80,30,9,5,Other,1,2,2,1,4,3983,7621,0,Y,No,17,3,3,0,4,2,3,3,2,2,2
360,No,30,Female,Divorced,Sales,Sales Executive,Travel_Rarely,570,80,30,5,3,Marketing,1,4,2,2,3,6118,5431,1,Y,No,13,3,3,3,10,2,3,10,9,1,2
361,No,27,Female,Married,Sales,Sales Executive,Travel_Rarely,1130,80,56,8,4,Marketing,1,2,3,2,2,6214,3415,1,Y,No,18,3,1,1,8,3,3,8,7,0,7
362,No,37,Male,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1192,80,61,5,2,Medical,1,4,3,2,4,6347,23177,7,Y,No,16,3,3,2,8,2,2,6,2,0,4
363,No,38,Male,Divorced,Research & Development,Research Director,Travel_Rarely,343,80,92,15,2,Life Sciences,1,3,2,3,4,11510,15682,0,Y,Yes,14,3,2,1,12,3,3,11,10,2,9
364,No,31,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,1232,80,39,7,4,Medical,1,3,3,3,4,7143,25713,1,Y,Yes,14,3,3,0,11,2,2,11,9,4,10
365,No,29,Female,Divorced,Sales,Sales Executive,Travel_Rarely,144,80,39,10,1,Marketing,1,4,2,2,2,8268,11866,1,Y,Yes,14,3,1,2,7,2,3,7,7,1,7
366,No,35,Male,Single,Research & Development,Manufacturing Director,Travel_Rarely,1296,80,62,5,4,Technical Degree,1,3,3,3,2,8095,18264,0,Y,No,13,3,4,0,17,5,3,16,6,0,13
367,No,23,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,1309,80,83,26,1,Life Sciences,1,3,3,1,4,2904,16092,1,Y,No,12,3,3,2,4,2,2,4,2,0,2
368,No,41,Male,Single,Research & Development,Manufacturing Director,Travel_Rarely,483,80,95,6,3,Medical,1,4,2,2,2,6032,10110,6,Y,Yes,15,3,4,0,8,3,3,5,4,1,2
369,No,47,Male,Single,Sales,Sales Representative,Travel_Frequently,1309,80,99,4,1,Medical,1,2,3,2,3,2976,25751,3,Y,No,19,3,1,0,5,3,3,0,0,0,0
370,No,42,Female,Single,Research & Development,Research Director,Travel_Rarely,810,80,44,23,5,Life Sciences,1,1,3,4,4,15992,15901,2,Y,No,14,3,2,0,16,2,3,1,0,0,0
371,No,29,Male,Married,Sales,Sales Executive,Non-Travel,746,80,61,2,3,Life Sciences,1,4,3,2,3,4649,16928,1,Y,No,14,3,1,1,4,3,2,4,3,0,2
372,No,42,Male,Divorced,Human Resources,Human Resources,Travel_Rarely,544,80,52,2,1,Technical Degree,1,3,3,1,3,2696,24017,0,Y,Yes,11,3,3,1,4,5,3,3,2,1,0
373,No,32,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1062,80,75,2,3,Medical,1,3,3,1,2,2370,3956,1,Y,No,13,3,3,1,8,4,3,8,0,0,7
374,No,48,Female,Married,Sales,Manager,Travel_Rarely,530,80,91,29,1,Medical,1,1,3,3,3,12504,23978,3,Y,No,21,4,2,1,15,3,1,0,0,0,0
375,No,37,Male,Divorced,Research & Development,Research Scientist,Travel_Rarely,1319,80,51,6,3,Medical,1,3,4,2,1,5974,17001,4,Y,Yes,13,3,1,2,13,2,3,7,7,6,7
376,No,30,Female,Married,Sales,Sales Executive,Non-Travel,641,80,85,25,2,Technical Degree,1,4,3,2,3,4736,6069,7,Y,Yes,12,3,2,1,4,2,4,2,2,2,2
377,No,26,Male,Married,Sales,Sales Executive,Travel_Rarely,933,80,57,1,3,Life Sciences,1,3,3,2,3,5296,20156,1,Y,No,17,3,2,1,8,3,3,8,7,7,7
378,No,42,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,1332,80,98,2,4,Other,1,1,2,2,4,6781,17078,3,Y,No,23,4,2,0,14,6,3,1,0,0,0
379,Yes,21,Female,Single,Sales,Sales Representative,Travel_Frequently,756,80,99,1,1,Technical Degree,1,1,2,1,2,2174,9150,1,Y,Yes,11,3,3,0,3,3,3,3,2,1,2
380,No,36,Female,Single,Sales,Sales Executive,Non-Travel,845,80,45,1,5,Medical,1,4,3,2,4,6653,15276,4,Y,No,15,3,2,0,7,6,3,1,0,0,0
381,No,36,Male,Married,Sales,Sales Executive,Travel_Frequently,541,80,48,3,4,Medical,1,1,2,3,4,9699,7246,4,Y,No,11,3,1,1,16,2,3,13,9,1,12
382,No,57,Male,Married,Research & Development,Healthcare Representative,Travel_Rarely,593,80,88,1,4,Medical,1,4,3,2,3,6755,2967,2,Y,No,11,3,3,0,15,2,3,3,2,1,2
383,No,40,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,1171,80,46,10,4,Life Sciences,1,4,4,1,3,2213,22495,3,Y,Yes,13,3,3,1,10,3,3,7,7,1,7
384,No,21,Male,Single,Sales,Sales Representative,Non-Travel,895,80,39,9,2,Medical,1,1,3,1,4,2610,2851,1,Y,No,24,4,3,0,3,3,2,3,2,2,2
385,Yes,33,Female,Single,Sales,Sales Representative,Travel_Rarely,350,80,34,5,3,Marketing,1,4,3,1,3,2851,9150,1,Y,Yes,13,3,2,0,1,2,3,1,0,0,0
386,No,37,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,921,80,98,10,3,Medical,1,3,3,1,1,3452,17663,6,Y,No,20,4,2,1,17,3,3,5,4,0,3
387,No,46,Female,Married,Research & Development,Manufacturing Director,Non-Travel,1144,80,30,7,4,Medical,1,3,3,2,3,5258,16044,2,Y,No,14,3,3,0,7,2,4,1,0,0,0
388,Yes,41,Male,Single,Sales,Sales Executive,Travel_Frequently,143,80,56,4,3,Marketing,1,1,3,2,2,9355,9558,1,Y,No,18,3,3,0,8,5,3,8,7,7,7
389,No,50,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,1046,80,100,10,3,Technical Degree,1,4,2,3,4,10496,2755,6,Y,No,15,3,4,0,20,2,3,4,3,1,3
390,Yes,40,Male,Married,Sales,Sales Executive,Travel_Rarely,575,80,68,22,2,Marketing,1,3,2,2,3,6380,6110,2,Y,Yes,12,3,1,2,8,6,3,6,4,1,0
391,No,31,Male,Single,Research & Development,Research Scientist,Travel_Rarely,408,80,42,9,4,Life Sciences,1,3,2,1,2,2657,7551,0,Y,Yes,16,3,4,0,3,5,3,2,2,2,2
392,Yes,21,Female,Single,Sales,Sales Representative,Travel_Rarely,156,80,90,12,3,Life Sciences,1,3,4,1,2,2716,25422,1,Y,No,15,3,4,0,1,0,3,1,0,0,0
393,No,29,Male,Single,Research & Development,Research Scientist,Travel_Rarely,1283,80,54,23,3,Life Sciences,1,4,3,1,4,2201,18168,9,Y,No,16,3,4,0,6,4,3,3,2,1,2
394,No,35,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,755,80,97,9,4,Life Sciences,1,3,2,2,2,6540,19394,9,Y,No,19,3,3,0,10,5,3,1,1,0,0
395,No,27,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1469,80,82,1,2,Medical,1,4,3,1,2,3816,17881,1,Y,No,11,3,2,1,5,2,3,5,2,0,4
396,No,28,Male,Single,Sales,Sales Executive,Travel_Rarely,304,80,92,9,4,Life Sciences,1,2,3,2,4,5253,20750,1,Y,No,16,3,4,0,7,1,3,7,5,0,7
397,No,49,Male,Single,Research & Development,Healthcare Representative,Travel_Rarely,1261,80,31,7,3,Other,1,2,2,3,3,10965,12066,8,Y,No,24,4,3,0,26,2,3,5,2,0,0
398,No,51,Female,Married,Sales,Sales Executive,Travel_Rarely,1178,80,87,14,2,Life Sciences,1,3,3,2,4,4936,14862,4,Y,No,11,3,3,1,18,2,2,7,7,0,7
399,No,36,Female,Married,Research & Development,Research Scientist,Travel_Rarely,329,80,96,2,3,Life Sciences,1,4,3,1,3,2543,11868,4,Y,No,13,3,2,1,6,3,3,2,2,2,2
400,Yes,34,Male,Single,Sales,Sales Executive,Non-Travel,1362,80,67,19,3,Marketing,1,1,4,2,4,5304,4652,8,Y,Yes,13,3,2,0,9,3,2,5,2,0,4
401,No,55,Female,Single,Research & Development,Manager,Travel_Rarely,1311,80,97,2,3,Life Sciences,1,3,3,4,4,16659,23258,2,Y,Yes,13,3,3,0,30,2,3,5,4,1,2
402,No,24,Female,Divorced,Sales,Sales Executive,Travel_Rarely,1371,80,77,10,4,Marketing,1,4,3,2,3,4260,5915,1,Y,Yes,12,3,4,1,5,2,4,5,2,0,3
403,No,30,Male,Married,Sales,Sales Representative,Travel_Rarely,202,80,72,2,1,Technical Degree,1,3,3,1,2,2476,17434,1,Y,No,18,3,1,1,1,3,3,1,0,0,0
404,Yes,26,Male,Single,Research & Development,Research Scientist,Travel_Frequently,575,80,73,3,1,Technical Degree,1,3,3,1,1,3102,6582,0,Y,No,22,4,3,0,7,2,3,6,4,0,4
405,No,22,Female,Married,Research & Development,Research Scientist,Travel_Rarely,253,80,43,11,3,Medical,1,1,3,1,2,2244,24440,1,Y,No,13,3,4,1,2,1,3,2,1,1,2
406,No,36,Male,Married,Sales,Sales Executive,Travel_Rarely,164,80,61,2,2,Medical,1,2,2,3,3,7596,3809,1,Y,No,13,3,2,2,10,2,3,10,9,9,0
407,Yes,30,Male,Single,Research & Development,Research Scientist,Travel_Frequently,464,80,40,4,3,Technical Degree,1,3,3,1,4,2285,3427,9,Y,Yes,23,4,3,0,3,4,3,1,0,0,0
408,No,37,Female,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1107,80,95,14,3,Life Sciences,1,4,3,1,1,3034,26914,1,Y,No,12,3,3,1,18,2,2,18,7,12,17
409,No,40,Female,Divorced,Sales,Sales Executive,Travel_Rarely,759,80,46,2,2,Marketing,1,4,3,2,2,5715,22553,7,Y,No,12,3,3,2,8,5,3,5,4,1,3
410,No,42,Female,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,201,80,95,1,4,Life Sciences,1,2,3,1,1,2576,20490,3,Y,No,16,3,2,1,8,5,3,5,2,1,2
411,No,37,Male,Single,Research & Development,Manufacturing Director,Travel_Rarely,1305,80,49,10,4,Life Sciences,1,3,3,2,2,4197,21123,2,Y,Yes,12,3,4,0,18,2,2,1,0,0,1
412,No,43,Male,Divorced,Research & Development,Research Director,Travel_Rarely,982,80,59,12,3,Life Sciences,1,1,2,4,2,14336,4345,1,Y,No,11,3,3,1,25,3,3,25,10,3,9
413,No,40,Female,Married,Research & Development,Laboratory Technician,Travel_Rarely,555,80,78,2,3,Medical,1,2,2,2,3,3448,13436,6,Y,No,22,4,2,1,20,3,3,1,0,0,0
414,No,54,Male,Married,Research & Development,Research Director,Travel_Rarely,821,80,86,5,2,Medical,1,1,3,5,1,19406,8509,4,Y,No,11,3,3,1,24,4,2,4,2,1,2
415,No,34,Female,Married,Sales,Sales Executive,Non-Travel,1381,80,72,4,4,Marketing,1,3,3,2,3,6538,12740,9,Y,No,15,3,1,1,6,3,3,3,2,1,2
416,No,31,Female,Married,Research & Development,Manufacturing Director,Travel_Rarely,480,80,31,7,2,Medical,1,2,3,2,1,4306,4156,1,Y,No,12,3,2,1,13,5,1,13,10,3,12
417,No,43,Male,Married,Research & Development,Laboratory Technician,Travel_Frequently,313,80,61,21,3,Medical,1,4,3,1,4,2258,15238,7,Y,No,20,4,1,1,8,1,3,3,2,1,2
418,No,43,Female,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,1473,80,74,8,4,Other,1,3,3,2,3,4522,2227,4,Y,Yes,14,3,4,0,8,3,3,5,2,0,2
419,No,25,Female,Single,Sales,Sales Executive,Travel_Rarely,891,80,99,4,2,Life Sciences,1,2,2,2,4,4487,12090,1,Y,Yes,11,3,2,0,5,3,3,5,4,1,3
420,No,37,Female,Married,Research & Development,Research Scientist,Non-Travel,1063,80,72,25,5,Medical,1,2,3,2,3,4449,23866,3,Y,Yes,15,3,1,2,15,2,3,13,11,10,7
421,No,31,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,329,80,98,1,2,Life Sciences,1,4,2,1,1,2218,16193,1,Y,No,12,3,3,1,4,3,3,4,2,3,2
422,No,39,Male,Divorced,Research & Development,Manager,Travel_Frequently,1218,80,52,1,1,Life Sciences,1,2,3,5,3,19197,8213,1,Y,Yes,14,3,3,1,21,3,3,21,8,1,6
423,No,56,Female,Married,Sales,Sales Executive,Travel_Frequently,906,80,86,6,3,Life Sciences,1,3,4,4,1,13212,18256,9,Y,No,11,3,4,3,36,0,2,7,7,7,7
424,No,30,Female,Single,Sales,Sales Executive,Travel_Rarely,1082,80,83,12,3,Technical Degree,1,2,3,2,3,6577,19558,0,Y,No,11,3,2,0,6,6,3,5,4,4,4
425,No,41,Male,Married,Sales,Sales Executive,Travel_Rarely,645,80,49,1,3,Marketing,1,2,4,3,1,8392,19566,1,Y,No,16,3,3,1,10,2,3,10,7,0,7
426,No,28,Male,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,1300,80,79,17,2,Medical,1,3,3,2,1,4558,13535,1,Y,No,12,3,4,1,10,2,3,10,0,1,8
427,Yes,25,Male,Married,Research & Development,Laboratory Technician,Travel_Rarely,688,80,91,3,3,Medical,1,1,3,1,1,4031,9396,5,Y,No,13,3,3,1,6,5,3,2,2,0,2
428,No,52,Male,Married,Research & Development,Manufacturing Director,Travel_Rarely,319,80,39,3,3,Medical,1,4,2,3,3,7969,19609,2,Y,Yes,14,3,3,0,28,4,3,5,4,0,4
429,No,45,Male,Married,Research & Development,Research Scientist,Travel_Rarely,192,80,69,10,2,Life Sciences,1,1,3,1,4,2654,9655,3,Y,No,21,4,4,2,8,3,2,2,2,0,2
430,No,52,Female,Married,Research & Development,Manager,Travel_Rarely,1490,80,30,4,2,Life Sciences,1,4,3,4,4,16555,10310,2,Y,No,13,3,4,0,31,2,1,5,2,1,4
431,No,42,Female,Divorced,Research & Development,Research Scientist,Travel_Frequently,532,80,92,29,2,Life Sciences,1,1,3,2,3,4556,12932,2,Y,No,11,3,2,1,19,3,3,5,4,0,2
432,No,30,Female,Single,Research & Development,Manufacturing Director,Travel_Rarely,317,80,43,2,3,Life Sciences,1,3,1,2,4,6091,24793,2,Y,No,20,4,3,0,11,2,3,5,4,0,2
433,No,60,Female,Married,Research & Development,Manager,Travel_Rarely,422,80,41,7,3,Life Sciences,1,1,3,5,1,19566,3854,5,Y,No,11,3,4,0,33,5,1,29,8,11,10
434,No,46,Female,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,1485,80,87,18,3,Medical,1,3,3,2,3,4810,26314,2,Y,No,14,3,3,1,19,5,2,10,7,0,8
435,No,42,Female,Married,Research & Development,Healthcare Representative,Travel_Frequently,1368,80,88,28,4,Technical Degree,1,4,2,2,4,4523,4386,0,Y,No,11,3,4,3,7,4,4,6,5,0,4
436,Yes,24,Female,Single,Sales,Sales Representative,Travel_Rarely,1448,80,62,1,1,Technical Degree,1,1,3,1,2,3202,21972,1,Y,Yes,16,3,2,0,6,4,3,5,3,1,4
437,Yes,34,Female,Divorced,Sales,Sales Representative,Travel_Frequently,296,80,33,6,2,Marketing,1,4,1,1,3,2351,12253,0,Y,No,16,3,4,1,3,3,2,2,2,1,0
438,No,38,Male,Married,Research & Development,Laboratory Technician,Travel_Frequently,1490,80,42,2,2,Life Sciences,1,4,3,1,4,1702,12106,1,Y,Yes,23,4,3,1,1,3,3,1,0,0,0
439,No,40,Female,Married,Sales,Manager,Travel_Rarely,1398,80,79,2,4,Life Sciences,1,3,3,5,3,18041,13022,0,Y,No,14,3,4,0,21,2,3,20,15,1,12
440,No,26,Female,Divorced,Research & Development,Research Scientist,Travel_Rarely,1349,80,90,23,3,Life Sciences,1,1,3,1,4,2886,3032,1,Y,No,22,4,2,2,3,3,1,3,2,0,2
441,No,30,Male,Married,Research & Development,Laboratory Technician,Non-Travel,1400,80,53,3,3,Life Sciences,1,3,3,1,4,2097,16734,4,Y,No,15,3,3,1,9,3,1,5,3,1,4
442,No,29,Male,Married,Research & Development,Research Director,Travel_Rarely,986,80,93,3,4,Medical,1,2,2,3,3,11935,21526,1,Y,No,18,3,3,0,10,2,3,10,2,0,7
443,Yes,29,Female,Married,Research & Development,Research Scientist,Travel_Rarely,408,80,71,25,5,Technical Degree,1,3,2,1,2,2546,18300,5,Y,No,16,3,2,0,6,2,4,2,2,1,1
444,Yes,19,Male,Single,Human Resources,Human Resources,Travel_Rarely,489,80,52,2,2,Technical Degree,1,1,2,1,4,2564,18437,1,Y,No,12,3,3,0,1,3,4,1,0,0,0
445,No,30,Female,Married,Sales,Sales Executive,Non-Travel,1398,80,69,22,4,Other,1,3,3,3,1,8412,2890,0,Y,No,11,3,3,0,10,3,3,9,8,7,8
446,No,57,Male,Divorced,Sales,Manager,Travel_Rarely,210,80,56,29,3,Marketing,1,1,2,4,4,14118,22102,3,Y,No,12,3,3,1,32,3,2,1,0,0,0
447,No,50,Male,Married,Research & Development,Manager,Travel_Rarely,1099,80,88,29,4,Life Sciences,1,2,2,4,3,17046,9314,0,Y,No,15,3,2,1,28,2,3,27,10,15,7
448,No,30,Female,Single,Research & Development,Laboratory Technician,Non-Travel,1116,80,49,2,3,Medical,1,3,3,1,4,2564,7181,0,Y,No,14,3,3,0,12,2,2,11,7,6,7
